FID,Node,Surface_El,Elevation,Dwn_Length,Dwn_Node,X,Y
488,D123201,4227.9824,4221.5824,302.63722,D123226,1521055.986,7437101.889
244,D111101,4230.2109,4221.589,225.280754,D111100,1522899.464,7434139.31
449,SD3134,4225.8667,4221.759766,152.275076,SD3135,1520745.489,7431998.404
532,D110252,4231.9824,4222,143.341703,D110251,1523999.127,7437099.018
800,SD7019,4227.4,4222.200195,8.411728,SD6996,1521488.763,7430584.924
809,SD6995,4230.4,4222.200195,181.295169,SD6994,1521488.514,7430632.542
140,D110126,4231.0068,4222.35,252.352068,D110265,1522655.771,7437070.093
250,D101113,4231.1709,4222.3709,67.952191,D101110,1524664.694,7434132.437
490,D123231,4231.792,4222.492,69.233606,D123232,1522143.636,7437096.22
810,SD6996,4230.2,4222.5,39.210119,SD6995,1521488.928,7430593.335
542,D110231,4230.9043,4222.6043,79.725322,D110221,1522639.13,7437095.953
801,SD7018,4222.7,4222.700195,238.350695,SD6996,1521487.565,7430320.552
280,D123232,4232.0737,4222.7737,267.521111,D123230,1522074.411,7437097.315
808,SD6994,4230.5,4222.799805,159.602699,SD7022,1521488.667,7430813.838
802,D125075,4230.3667,4222.899902,376.979986,D125047,1521501.707,7431220.313
749,D100072,4232.4883,4222.967,311.12644,D100065,1525829.403,7437900.419
798,SD7016,4222.9,4223,322.093302,SD7018,1521482.608,7429998.496
813,SD6992,4229.7,4223,53.610341,D125075,1521498.197,7431166.818
797,SD7015,4228.2,4223.100098,48.830065,SD7016,1521482.504,7429949.667
531,D110246,4231.1421,4223.1921,160.227939,D110244,1523631.903,7437097.429
811,SD7022,4231.2,4223.200195,165.567756,SD6993,1521490.955,7430973.424
543,D110271,4231.2808,4223.2808,208.670613,D110238,1523324.805,7437096.257
213,D111039,4230.9287,4223.286,224.741561,D111040,1524097.717,7434132.927
796,SD6993,4223.2,4223.299805,28.438732,SD6992,1521492.353,7431138.986
205,D111038,4230.6328,4223.348,260.169866,D111050,1524233.995,7434141.464
755,D126066,4227.9468,4223.399902,1083.770177,SD7015,1521480.238,7428865.899
468,D100110,4230.6836,4223.4836,67.674719,D100100,1524678.61,7437065.243
756,D126067,4227.8413,4223.5,66.982641,D126066,1521479.75,7428798.918
799,SD7017,4227.6,4223.5,26.096034,SD7019,1521490.475,7430558.885
805,SD3239,4234.4404,4223.600098,142.485336,D100081,1526286.571,7437851.416
546,D100108,4230.1123,4223.6123,62.63164,D100110,1524741.24,7437064.775
467,D100100,4229.5571,4223.9571,338.65373,D100098,1524611.176,7437063.297
757,D126068,4229.082,4224.299805,99.682716,D126067,1521481.552,7428699.251
547,D100115,4230.7622,4224.5622,295.733836,D100108,1525036.971,7437063.654
504,D100277,4231.0044,4224.6344,278.4516,D100335,1525035.575,7437091.148
305,D100287,4231.2397,4225.0797,12.526627,D100324,1525428.651,7437084.012
138,D100308,4233.5752,4225.219,40.912113,D100306,1526337.4,7437077.045
182,D100142,4233.4604,4225.379,57.98233,D100310,1526371.501,7437051.146
758,D126069,4229.1206,4225.5,66.266141,D126068,1521480.911,7428632.988
807,D100080,4233.5801,4226.764,421.476541,D100070,1526200.37,7437916.125
89,D099061,4233.1509,4227.116,64.122706,D099062,1524773.582,7439489.425
166,D091116,4239.5205,4229.351,79.041844,D091115,1527883.542,7437045.99
383,D103080,4236.0532,4231.2532,16.782529,D103072,1524678.633,7428215.977
628,D092146,4238.8667,4231.48,213.577562,D092112,1527723.684,7434132.607
662,D092117,4239.1753,4232.1753,38.76581,D092146,1527762.444,7434133.282
622,D099036,4242.5405,4234.765,402.576041,D099070,1525533.992,7440237.112
563,D092119,4241.5396,4234.799805,37.030351,D092500,1527880.816,7433724.109
508,D091268,4245.5972,4236.344,333.939757,SD376,1529357.844,7437084.972
135,D079130,4247.4629,4237.832,288.054226,SD370,1529755.295,7437082.415
239,D092125,4245.1489,4238.232233,694.633622,D092505,1528636.675,7434146.57
286,D093001,4247.52,4240.52,422.306595,D093043,1528639.285,7433377.752
453,D079133,4259.772,4242.289,105.387066,D079135,1531020.921,7437078.881
240,D092133,4248.4214,4243.088067,61.145715,D092131,1529435.875,7434145.016
294,D093003,4250.2378,4243.654467,299.060821,D093002,1529029.261,7433158.117
128,D079025,4253.6436,4246.504,295.348582,D079023,1530152.692,7437903.534
847,D079026,4254.0903,4248.06,341.599754,D079022,1530184.633,7437893.204
328,D093005,4255.4551,4248.121767,572.649833,D093003,1529435.864,7432754.878
523,D079153,4256.2212,4250.08,320.235209,D079152,1531011.92,7434538.332
0,I10-D4,4262.8496,4251.8496,334.752209,D090119,1527421.006,7441079.333
569,D079144,4259.1685,4253.628,47.964481,D079155,1531045.242,7434139.281
